Social.Progress.Index,Basic.Human.Needs,Foundations.of.Wellbeing,Opportunity,Nutrition.and.Basic.Medical.Care,Water.and.Sanitation,Shelter,Personal.Safety,Access.to.Basic.Knowledge,Access.to.Information.and.Communications,Health.and.Wellness,Ecosystem.Sustainability,Personal.Rights,Personal.Freedom.and.Choice,Tolerance.and.Inclusion,Access.to.Advanced.Education,t1
62.2,65.87,72.17,48.58,87.09,59.53,56.28,60.57,82.74,66.38,72.16,67.4,45.85,59.21,61.82,27.44,Nicaragua
40.56,40.55,48.99,32.15,66.91,18.3,25.1,51.87,29.76,43.78,67.53,54.87,40.72,33.76,47.05,7.09,Niger
43.31,39.04,61.51,29.37,67.92,26.38,37.82,24.03,56.09,60.84,67.14,61.98,32.16,38.58,29.32,17.41,Nigeria
88.36,94.8,88.46,81.82,99.36,100,86.99,92.85,99.12,96.11,80.6,78.03,87.91,91.38,79.3,68.69,Norway
45.66,56.37,50.71,29.9,74.03,60.31,46.02,45.12,52.56,45.71,64.99,39.57,35.59,45.09,18.66,20.29,Pakistan
71.79,75.91,77.55,61.9,91.65,82.93,71.52,57.54,90.93,72.77,77.65,68.88,70.56,64.91,63.54,48.58,Panama
67.1,71.11,71.11,59.09,90.77,79.56,56.88,57.23,83.25,70.52,74.08,56.57,67.12,67.61,65.3,36.32,Paraguay
67.23,69.89,73.89,57.92,92.47,73.11,67.77,46.2,91.97,70.53,81.08,51.98,64.8,60.43,57.88,48.57,Peru
65.46,68.23,68.86,59.3,87.77,71.8,61.87,51.49,89.44,65.87,70.21,49.93,62,67.78,55.5,51.92,Philippines
77.98,86.67,77.19,70.07,99.18,93.67,70.96,82.86,97.67,85.67,59.37,66.06,80.95,75.41,59.23,64.67,Poland
81.91,92.81,76.17,76.76,99.03,99.91,85.2,87.11,98.76,82.83,73.25,49.83,93.04,79.92,80.11,53.98,Portugal
68.37,77.35,71.53,56.24,97.86,69.05,66.55,75.94,92.74,77.25,55.09,61.03,64.8,62.64,40.9,56.6,Romania
63.64,74.1,67.63,49.19,97.76,81.92,68.7,48.03,96.53,72.79,44.58,56.63,18.32,55.12,35.6,87.73,Russia
51.6,52.52,60.63,41.67,66.7,47.08,45.58,50.7,69.83,38.61,71.07,63.01,33.84,69.46,45.64,17.72,Rwanda
64.27,82.87,70.46,39.49,97.32,89.37,75.44,69.34,96,66.45,69.64,49.75,9.28,55.81,45.64,47.24,Saudi Arabia
56.46,60.35,65.97,43.07,75.01,51.05,53.26,62.09,54.88,65.84,73.73,69.42,59.67,51.2,53.5,7.89,Senegal
69.79,83.38,74.74,51.25,98.88,94.73,64.75,75.15,94.48,77.1,55.98,71.4,55.71,51.71,47.64,49.92,Serbia
78.45,92.19,78.8,64.35,98.77,98.22,85.63,86.16,96.67,89.57,59.7,69.23,78.63,65.92,59.49,53.34,Slovakia
81.62,92.88,80.87,71.12,99.42,99.61,81.01,91.47,97.91,84.64,66.92,73.99,80.95,79.88,64.49,59.15,Slovenia
65.64,64.59,69.94,62.38,85.94,80.55,62.92,28.96,93.21,77.14,58.34,51.09,75.2,71.65,57.41,45.27,South Africa
81.17,91.09,76.79,75.62,99.3,99.8,84.44,80.83,99.69,84.24,77.17,46.08,83.27,74.67,76.34,68.22,Spain
60.1,71.12,67.03,42.14,83.53,74.63,63.43,62.9,96.17,54.22,65.55,52.19,25.23,64.03,33.27,46.02,Sri Lanka
